date,nav,daily_pnl,position,pos_size_bbl,roll_cost,action,crack,z_score
2023-12-29,1583195.27,0.0,0,0,0.0,hold,22.9662,-0.7709
2024-01-02,1583195.27,0.0,0,0,0.0,hold,23.6384,-1.6694
2024-01-03,1583195.27,0.0,0,0,0.0,hold,24.1884,-1.2266
2024-01-04,1583195.27,0.0,0,0,0.0,hold,23.1304,-1.7797
2024-01-05,1583195.27,0.0,0,0,0.0,hold,21.663,-2.3842
2024-01-08,1582250.27,0.0,1,18000,0.0,enter,22.085,-1.9635
2024-01-09,1599008.24,16757.97,1,18000,0.0,hold,23.016,-1.3639
2024-01-10,1597330.56,-1677.68,1,18000,0.0,hold,22.9228,-1.3376
2024-01-11,1627765.03,30434.47,1,18000,0.0,hold,24.6136,-0.4066
2024-01-12,1616830.01,-9990.02,0,0,0.0,exit,24.0586,-0.6927
2024-01-16,1616830.01,0.0,0,0,0.0,hold,24.2616,-0.6182
2024-01-17,1616830.01,0.0,0,0,0.0,hold,24.3816,-0.5554
2024-01-18,1616830.01,0.0,0,0,0.0,hold,24.7684,-0.3135
2024-01-19,1616830.01,0.0,0,0,0.0,hold,24.4178,-0.5188
2024-01-22,1616830.01,0.0,0,0,0.0,hold,25.1774,-0.1168
2024-01-23,1616830.01,0.0,0,0,0.0,hold,25.191,-0.1385
2024-01-24,1616830.01,0.0,0,0,0.0,hold,24.3212,-0.6855
2024-01-25,1616830.01,0.0,0,0,0.0,hold,25.1788,-0.1851
2024-01-26,1616830.01,0.0,0,0,0.0,hold,26.0324,0.2859
2024-01-29,1616830.01,0.0,0,0,0.0,hold,25.2926,-0.2538
2024-01-30,1616830.01,0.0,0,0,0.0,hold,24.7748,-0.5613
2024-01-31,1616830.01,0.0,0,0,0.0,hold,24.5972,-0.658
2024-02-01,1616830.01,0.0,0,0,0.0,hold,25.615,0.0415
2024-02-02,1616830.01,0.0,0,0,0.0,hold,25.09,-0.3164
2024-02-05,1616830.01,0.0,0,0,0.0,hold,27.2248,1.584
2024-02-06,1616830.01,0.0,0,0,0.0,hold,27.1722,1.5963
2024-02-07,1616830.01,0.0,0,0,0.0,hold,28.9168,2.8682
2024-02-08,1615885.01,0.0,-1,18000,0.0,enter,29.8272,2.9338
2024-02-09,1609808.14,-6076.86,-1,18000,0.0,hold,30.1648,2.6634
2024-02-12,1608476.14,-1332.01,-1,18000,0.0,hold,30.2388,2.2597
2024-02-13,1617789.48,9313.34,-1,18000,0.0,hold,29.7214,1.7594
2024-02-14,1656431.75,38642.27,-1,18000,0.0,hold,27.5746,0.4812
2024-02-15,1676373.98,20887.22,0,0,0.0,exit,26.4142,-0.2105
2024-02-16,1676373.98,0.0,0,0,0.0,hold,25.5104,-0.762
2024-02-20,1676373.98,0.0,0,0,0.0,hold,23.8282,-1.8436
2024-02-21,1676373.98,0.0,0,0,0.0,hold,23.9708,-1.7611
2024-02-22,1676373.98,0.0,0,0,0.0,hold,25.2896,-1.0717
